"country.name","year","drought.occurrence","flood.occurrence","storm.occurrence","wildfire.occurrence","drought.total.deaths","flood.total.deaths","storm.total.deaths","wildfire.total.deaths","drought.total.affected","flood.total.affected","storm.total.affected","wildfire.total.affected","drought.total.damage.mio.dollars","flood.total.damage.mio.dollars","storm.total.damage.mio.dollars","wildfire.total.damage.mio.dollars"
"Albania",1989,1,NA,NA,NA,NA,NA,NA,NA,3200000,NA,NA,NA,NA,NA,NA,NA
"Albania",1992,NA,1,NA,NA,NA,11,NA,NA,NA,35000,NA,NA,NA,7,NA,NA
"Albania",1995,NA,2,NA,NA,NA,4,NA,NA,NA,3500,NA,NA,NA,NA,NA,NA
"Albania",1997,NA,1,NA,NA,NA,NA,NA,NA,NA,8000,NA,NA,NA,NA,NA,NA
"Albania",2002,NA,1,1,NA,NA,1,6,NA,NA,66884,125000,NA,NA,18,NA,NA
"Albania",2004,NA,1,NA,NA,NA,NA,NA,NA,NA,2500,NA,NA,NA,0,NA,NA
"Albania",2005,NA,1,1,NA,NA,3,2,NA,NA,500,400000,NA,NA,NA,NA,NA
"Albania",2007,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA
"Albania",2009,NA,1,NA,NA,NA,NA,NA,NA,NA,6600,NA,NA,NA,NA,NA,NA
"Albania",2010,NA,1,NA,NA,NA,NA,NA,NA,NA,14000,NA,NA,NA,NA,NA,NA
"Albania",2015,NA,3,NA,NA,NA,1,NA,NA,NA,42300,NA,NA,NA,NA,NA,NA
"Albania",2016,NA,1,NA,NA,NA,2,NA,NA,NA,4500,NA,NA,NA,NA,NA,NA
"Albania",2017,NA,1,NA,NA,NA,1,NA,NA,NA,21002,NA,NA,NA,9,NA,NA
"Albania",2018,NA,1,NA,NA,NA,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA
"Austria",1976,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1980,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1981,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1982,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1983,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1984,NA,NA,1,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1985,NA,1,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1990,NA,NA,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,250,NA
"Austria",1991,NA,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,82,28,NA
"Austria",1993,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Austria",1994,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"Austria",1995,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"Austria",1996,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
"Austria",1997,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,175,NA,NA
"Austria",1999,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,32,NA,NA
"Austria",2000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
"Austria",2002,NA,1,2,NA,NA,9,3,NA,NA,60000,300,NA,NA,2400,5,NA
"Austria",2005,NA,2,NA,NA,NA,4,NA,NA,NA,900,NA,NA,NA,700,NA,NA
"Austria",2006,NA,1,NA,NA,NA,NA,NA,NA,NA,516,NA,NA,NA,NA,NA,NA
"Austria",2007,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,NA
"Austria",2008,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,500,NA
"Austria",2009,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,200,500,NA
"Austria",2013,NA,1,NA,NA,NA,4,NA,NA,NA,200,NA,NA,NA,1000,NA,NA
